,ECO,OIL,SP500,PSE,RATE
2010-08-18,91.01,75.41999816894531,1094.1600341796875,886.7100219726562,0.16
2010-08-25,85.58,72.5199966430664,1055.3299560546875,870.0399780273438,0.16
2010-09-01,89.8,73.91000366210938,1080.2900390625,887.9299926757812,0.13
2010-09-08,92.17,74.66999816894531,1098.8699951171875,908.3200073242188,0.14
2010-09-15,93.08,76.0199966430664,1125.0699462890625,934.9199829101562,0.15
2010-09-22,93.92,74.70999908447266,1134.280029296875,944.5800170898438,0.16
2010-09-29,99.09,77.86000061035156,1144.72998046875,969.4600219726562,0.16
2010-10-06,99.49,83.2300033569336,1159.969970703125,961.8699951171875,0.13
2010-10-13,104.88,83.01000213623047,1178.0999755859375,986.0599975585938,0.13
2010-10-20,101.59,81.7699966430664,1178.1700439453125,985.1400146484375,0.14
2010-10-27,103.37,81.94000244140625,1182.449951171875,1018.239990234375,0.14
2010-11-03,102.9,84.69000244140625,1197.9599609375,1033.81005859375,0.13
2010-11-10,105.53,87.80999755859375,1218.7099609375,1048.7900390625,0.13
2010-11-17,96.78,80.44000244140625,1178.5899658203125,1005.0399780273438,0.14
2010-11-24,101.05,83.86000061035156,1198.3499755859375,1053.6800537109375,0.16
2010-12-01,99.43,86.75,1206.0699462890625,1057.06005859375,0.16
2010-12-08,103.97,88.27999877929688,1228.280029296875,1080.6400146484375,0.15
2010-12-15,103.33,88.62000274658203,1235.22998046875,1077.1099853515625,0.14
2010-12-22,106.01,90.4800033569336,1258.8399658203125,1094.3199462890625,0.14
2010-12-29,105.58,91.12000274658203,1259.780029296875,1090.77001953125,0.13
2011-01-05,108.44,90.30000305175781,1276.56005859375,1107.2099609375,0.14
2011-01-12,111.6,91.86000061035156,1285.9599609375,1125.550048828125,0.15
2011-01-19,108.87,90.86000061035156,1281.9200439453125,1127.8499755859375,0.16
2011-01-26,108.13,87.33000183105469,1296.6300048828125,1120.9000244140625,0.16
2011-02-02,110.9,90.86000061035156,1304.030029296875,1133.43994140625,0.16
2011-02-09,110.05,86.70999908447266,1320.8800048828125,1160.97998046875,0.14
