Date,ECO,OIL,SP500,PSE,RATE,LECO,LRATE,LPSE,LOIL,LSP500,LOTECH
2017-08-30,45.28,45.959999084472656,2457.590087890625,2609.27001953125,1.01,3.8128654338949275,0.009950330853168092,7.866825775193962,3.8277714330604646,7.806936509697589,0.08048654613133532
2017-09-06,45.9,49.15999984741211,2465.5400390625,2618.219970703125,1.05,3.8264651170664994,0.04879016416943204,7.870249965363048,3.8950802815939305,7.8101661452656375,0.07952353678293367
2017-09-13,47.62,49.29999923706055,2498.3701171875,2659.800048828125,1.02,3.8632528410587166,0.01980262729617973,7.886006229336881,3.897924065573199,7.823393845117439,0.0773110370419241
2017-09-20,48.89,50.40999984741211,2508.239990234375,2673.06005859375,1.02,3.889572876590554,0.01980262729617973,7.890979184496212,3.9201895650676026,7.827336587060941,0.07692809516963806
2017-09-27,48.89,52.13999938964844,2507.0400390625,2673.5400390625,1.05,3.889572876590554,0.04879016416943204,7.891158730548384,3.953932396799342,7.826858068937222,0.07775766951053154
2017-10-04,49.58,49.97999954223633,2537.739990234375,2712.219970703125,1.06,3.9035875266070446,0.058268908123975824,7.9055227559123065,3.911622916247869,7.839029196310145,0.07558819968197561
2017-10-11,49.75,51.29999923706055,2555.239990234375,2746.340087890625,1.08,3.907010463604602,0.0769610411361284,7.918024427126417,3.9376907373046097,7.845901427868326,0.07875449842421745
2017-10-18,50.54,52.040000915527344,2561.260009765625,2764.989990234375,1.07,3.922765101960048,0.06765864847381486,7.924792293781483,3.9520126712370667,7.84825460770189,0.08232576000949976
2017-10-25,49.99,52.18000030517578,2557.14990234375,2760.739990234375,1.1,3.911822985425479,0.09531017980432493,7.923254035179247,3.9546992855571026,7.846648597876232,0.0829691362647429
2017-11-01,51.51,54.29999923706055,2579.360107421875,2785.719970703125,1.16,3.9417759635774936,0.14842000511827322,7.932261636259667,3.994524212889439,7.855296626774404,0.08022908736736145
2017-11-08,52.5,56.810001373291016,2594.3798828125,2815.89990234375,1.21,3.960813169597578,0.1906203596086497,7.943037170603455,4.039712390742438,7.86110280088214,0.0831174023307586
2017-11-15,50.58,55.33000183105469,2564.6201171875,2773.110107421875,1.23,3.923556241241819,0.20701416938432612,7.927724751795337,4.013315290003361,7.849565644175604,0.08347728068113724
2017-11-22,52.16,58.02000045776367,2597.080078125,2832.68994140625,1.27,3.9543159176183975,0.23901690047049992,7.948982048520167,4.060787786583014,7.862143046044892,0.08764919106761138
2017-11-29,51.78,57.29999923706055,2626.070068359375,2798.820068359375,1.27,3.947003974323392,0.23901690047049992,7.936953203190245,4.048300610405869,7.873243737050323,0.0605409520424276
2017-12-06,50.89,55.959999084472656,2629.27001953125,2766.239990234375,1.28,3.9296664406007413,0.2468600779315258,7.925244272826178,4.024637133436892,7.874461527531557,0.04717775149861314
2017-12-13,52.07,56.599998474121094,2662.85009765625,2818.389892578125,1.28,3.952588967174808,0.2468600779315258,7.943921040793705,4.036008958250146,7.88715229345082,0.04861513720630395
2017-12-20,52.92,58.09000015258789,2679.25,2842.219970703125,1.36,3.968781339246755,0.3074846997479607,7.952340705627736,4.061993534631191,7.893292183593107,0.0486942563341346
2017-12-27,53.22,59.63999938964844,2682.6201171875,2828.929931640625,1.42,3.9744342655495433,0.35065687161316933,7.947653803105345,4.088326479662608,7.894549251577835,0.04229972831039852
2018-01-03,53.88,61.630001068115234,2713.06005859375,2893.919921875,1.39,3.986759351542163,0.3293037471426003,7.970367236412951,4.121148782305244,7.90583244975034,0.04968584665160947
2018-01-10,53.46,63.56999969482422,2748.22998046875,2950.89990234375,1.4,3.978933710710773,0.3364722366212129,7.989865454457023,4.152141656147692,7.918712339967327,0.05168777232625388
2018-01-17,54.04,63.970001220703125,2802.56005859375,3031.22998046875,1.42,3.989724513091998,0.35065687161316933,8.01672375028254,4.1584142425444774,7.938288585080203,0.0519533175754745
2018-01-24,52.99,65.61000061035156,2837.5400390625,3057.510009765625,1.41,3.9701032165046706,0.34358970439007686,8.02535614139591,4.183728132659508,7.950692772372923,0.04373562038666812
2018-01-31,52.08,64.7300033569336,2823.81005859375,3069.389892578125,1.44,3.9527809979003137,0.36464311358790924,8.029234088772167,4.1702248244179705,7.945842336646335,0.054202493612585556
